Year	Lon	Lat	M
   1.9810238e+03   1.0590000e+02   3.9000000e+01   3.1000000e+00
   1.9810238e+03   1.0605000e+02   3.8130000e+01   2.8000000e+00
   1.9810322e+03   1.0220000e+02   3.7350000e+01   2.2000000e+00
   1.9810374e+03   1.0220000e+02   3.7570000e+01   2.2000000e+00
   1.9810383e+03   1.0202000e+02   3.7830000e+01   2.8000000e+00
   1.9810397e+03   1.0535000e+02   3.6070000e+01   2.6000000e+00
   1.9810415e+03   1.0302000e+02   3.7600000e+01   2.6000000e+00
   1.9810438e+03   1.0232000e+02   3.7720000e+01   2.9000000e+00
   1.9810450e+03   1.0488000e+02   3.5350000e+01   2.3000000e+00
   1.9810450e+03   1.0507000e+02   3.5200000e+01   2.9000000e+00
   1.9810530e+03   1.0240000e+02   3.8900000e+01   2.8000000e+00
   1.9810539e+03   1.0377000e+02   3.6630000e+01   1.7000000e+00
   1.9810645e+03   1.0513000e+02   3.5350000e+01   3.2000000e+00
   1.9810645e+03   1.0523000e+02   3.5380000e+01   3.1000000e+00
   1.9810646e+03   1.0527000e+02   3.5400000e+01   2.9000000e+00
   1.9810646e+03   1.0515000e+02   3.5370000e+01   2.4000000e+00
   1.9810689e+03   1.0600000e+02   3.6020000e+01   2.2000000e+00
   1.9810725e+03   1.0620000e+02   3.7800000e+01   2.5000000e+00
   1.9810758e+03   1.0482000e+02   3.5880000e+01   3.2000000e+00
   1.9810758e+03   1.0472000e+02   3.5920000e+01   3.0000000e+00
   1.9810760e+03   1.0575000e+02   3.6170000e+01   1.8000000e+00
   1.9810760e+03   1.0603000e+02   3.6220000e+01   2.5000000e+00
   1.9810839e+03   1.0530000e+02   3.5050000e+01   2.3000000e+00
   1.9810839e+03   1.0528000e+02   3.5280000e+01   2.0000000e+00
   1.9810947e+03   1.0537000e+02   3.6950000e+01   2.0000000e+00
   1.9810987e+03   1.0265000e+02   3.7630000e+01   2.2000000e+00
   1.9811087e+03   1.0675000e+02   3.9770000e+01   3.8000000e+00
   1.9811087e+03   1.0580000e+02   3.9700000e+01   3.2000000e+00
   1.9811113e+03   1.0432000e+02   3.8370000e+01   2.7000000e+00
   1.9811207e+03   1.0533000e+02   3.6680000e+01   3.0000000e+00
   1.9811207e+03   1.0600000e+02   3.6830000e+01   2.1000000e+00
   1.9811211e+03   1.0328000e+02   3.8630000e+01   2.4000000e+00
   1.9811233e+03   1.0628000e+02   3.5480000e+01   2.4000000e+00
   1.9811265e+03   1.0377000e+02   3.7130000e+01   2.4000000e+00
   1.9811428e+03   1.0268000e+02   3.7850000e+01   2.9000000e+00
   1.9811587e+03   1.0220000e+02   3.7530000e+01   2.9000000e+00
   1.9811601e+03   1.0545000e+02   3.6630000e+01   3.3000000e+00
   1.9811729e+03   1.0343000e+02   3.6230000e+01   2.3000000e+00
   1.9811750e+03   1.0292000e+02   3.8570000e+01   2.1000000e+00
   1.9811750e+03   1.0290000e+02   3.8580000e+01   2.1000000e+00
   1.9811751e+03   1.0292000e+02   3.8630000e+01   1.9000000e+00
   1.9811818e+03   1.0215000e+02   3.7870000e+01   2.3000000e+00
   1.9811972e+03   1.0647000e+02   3.8770000e+01   3.3000000e+00
   1.9811972e+03   1.0667000e+02   3.9000000e+01   3.0000000e+00
   1.9812170e+03   1.0670000e+02   3.7900000e+01   3.9000000e+00
   1.9812212e+03   1.0550000e+02   3.7250000e+01   2.2000000e+00
   1.9812212e+03   1.0563000e+02   3.7200000e+01   2.8000000e+00
   1.9812244e+03   1.0527000e+02   3.5430000e+01   2.6000000e+00
   1.9812276e+03   1.0505000e+02   3.5400000e+01   3.3000000e+00
   1.9812276e+03   1.0533000e+02   3.5600000e+01   2.0000000e+00
   1.9812276e+03   1.0505000e+02   3.5400000e+01   2.0000000e+00
   1.9812312e+03   1.0632000e+02   3.9920000e+01   4.0000000e+00
   1.9812325e+03   1.0308000e+02   3.8330000e+01   1.9000000e+00
   1.9812453e+03   1.0637000e+02   3.6880000e+01   3.8000000e+00
   1.9812453e+03   1.0620000e+02   3.7020000e+01   4.4000000e+00
   1.9812472e+03   1.0417000e+02   3.8400000e+01   2.3000000e+00
   1.9812503e+03   1.0625000e+02   3.8250000e+01   3.1000000e+00
   1.9812530e+03   1.0615000e+02   3.8180000e+01   3.8000000e+00
   1.9812566e+03   1.0347000e+02   3.8570000e+01   3.1000000e+00
   1.9812582e+03   1.0698000e+02   3.5100000e+01   1.2000000e+00
   1.9812582e+03   1.0702000e+02   3.5080000e+01   2.6000000e+00
   1.9812616e+03   1.0213000e+02   3.7880000e+01   2.8000000e+00
   1.9812628e+03   1.0253000e+02   3.7120000e+01   2.3000000e+00
   1.9812682e+03   1.0207000e+02   3.7600000e+01   2.2000000e+00
   1.9812708e+03   1.0237000e+02   3.7670000e+01   2.7000000e+00
   1.9812721e+03   1.0223000e+02   3.7500000e+01   3.5000000e+00
   1.9812817e+03   1.0545000e+02   3.6630000e+01   2.6000000e+00
   1.9812876e+03   1.0607000e+02   3.6370000e+01   2.6000000e+00
   1.9812876e+03   1.0637000e+02   3.6500000e+01   1.8000000e+00
   1.9812958e+03   1.0210000e+02   3.8000000e+01   2.3000000e+00
   1.9813079e+03   1.0218000e+02   3.7520000e+01   2.9000000e+00
   1.9813168e+03   1.0213000e+02   3.8020000e+01   2.9000000e+00
   1.9813227e+03   1.0512000e+02   3.5250000e+01   1.8000000e+00
   1.9813318e+03   1.0210000e+02   3.7800000e+01   2.7000000e+00
   1.9813328e+03   1.0273000e+02   3.7600000e+01   2.0000000e+00
   1.9813416e+03   1.0457000e+02   3.8670000e+01   3.8000000e+00
   1.9813446e+03   1.0387000e+02   3.5020000e+01   2.5000000e+00
   1.9813448e+03   1.0247000e+02   3.7670000e+01   2.7000000e+00
   1.9813716e+03   1.0523000e+02   3.6700000e+01   3.8000000e+00
   1.9813716e+03   1.0513000e+02   3.6630000e+01   2.9000000e+00
   1.9813721e+03   1.0690000e+02   3.9700000e+01   3.4000000e+00
   1.9813909e+03   1.0225000e+02   3.7830000e+01   3.2000000e+00
   1.9813934e+03   1.0255000e+02   3.7700000e+01   2.2000000e+00
   1.9813937e+03   1.0220000e+02   3.6400000e+01   2.0000000e+00
   1.9814042e+03   1.0282000e+02   3.6570000e+01   2.4000000e+00
   1.9814078e+03   1.0215000e+02   3.7700000e+01   2.7000000e+00
   1.9814197e+03   1.0228000e+02   3.9030000e+01   2.6000000e+00
   1.9814238e+03   1.0287000e+02   3.7920000e+01   2.2000000e+00
   1.9814272e+03   1.0235000e+02   3.8500000e+01   2.1000000e+00
   1.9814422e+03   1.0563000e+02   3.7330000e+01   1.9000000e+00
   1.9814422e+03   1.0592000e+02   3.7130000e+01   2.7000000e+00
   1.9814463e+03   1.0253000e+02   3.7700000e+01   3.9000000e+00
   1.9814476e+03   1.0238000e+02   3.7570000e+01   2.1000000e+00
   1.9814587e+03   1.0208000e+02   3.7720000e+01   3.0000000e+00
   1.9814657e+03   1.0380000e+02   3.7900000e+01   2.4000000e+00
   1.9814707e+03   1.0590000e+02   3.6330000e+01   1.6000000e+00
   1.9814724e+03   1.0600000e+02   3.6420000e+01   2.4000000e+00
   1.9814724e+03   1.0600000e+02   3.6420000e+01   1.4000000e+00
   1.9814735e+03   1.0307000e+02   3.5250000e+01   3.7000000e+00
   1.9814735e+03   1.0277000e+02   3.5150000e+01   3.1000000e+00
   1.9814826e+03   1.0475000e+02   3.5730000e+01   2.2000000e+00
   1.9814826e+03   1.0380000e+02   3.5250000e+01   2.3000000e+00
   1.9814852e+03   1.0355000e+02   3.8780000e+01   3.7000000e+00
   1.9814852e+03   1.0347000e+02   3.8830000e+01   2.8000000e+00
   1.9814910e+03   1.0287000e+02   3.7700000e+01   2.2000000e+00
   1.9814944e+03   1.0497000e+02   3.6400000e+01   2.5000000e+00
   1.9814944e+03   1.0420000e+02   3.7420000e+01   3.3000000e+00
   1.9815061e+03   1.0478000e+02   3.5850000e+01   2.0000000e+00
   1.9815129e+03   1.0212000e+02   3.8800000e+01   2.0000000e+00
   1.9815135e+03   1.0623000e+02   3.5930000e+01   2.6000000e+00
   1.9815135e+03   1.0617000e+02   3.5920000e+01   2.3000000e+00
   1.9815180e+03   1.0232000e+02   3.7750000e+01   2.5000000e+00
   1.9815183e+03   1.0233000e+02   3.7670000e+01   2.4000000e+00
   1.9815185e+03   1.0218000e+02   3.7880000e+01   2.4000000e+00
   1.9815220e+03   1.0203000e+02   3.8200000e+01   2.0000000e+00
   1.9815234e+03   1.0505000e+02   3.5220000e+01   1.3000000e+00
   1.9815360e+03   1.0513000e+02   3.7730000e+01   3.5000000e+00
   1.9815360e+03   1.0472000e+02   3.7600000e+01   2.6000000e+00
   1.9815511e+03   1.0540000e+02   3.5500000e+01   1.9000000e+00
   1.9815581e+03   1.0280000e+02   3.5380000e+01   1.3000000e+00
   1.9815640e+03   1.0215000e+02   3.7770000e+01   2.1000000e+00
   1.9815662e+03   1.0282000e+02   3.6950000e+01   2.4000000e+00
   1.9815680e+03   1.0610000e+02   3.7020000e+01   2.2000000e+00
   1.9815702e+03   1.0392000e+02   3.6330000e+01   3.5000000e+00
   1.9815757e+03   1.0410000e+02   3.6350000e+01   4.0000000e+00
   1.9815776e+03   1.0622000e+02   3.5820000e+01   3.3000000e+00
   1.9815776e+03   1.0632000e+02   3.5880000e+01   2.3000000e+00
   1.9815799e+03   1.0300000e+02   3.9570000e+01   3.8000000e+00
   1.9815969e+03   1.0625000e+02   3.5830000e+01   2.0000000e+00
   1.9815985e+03   1.0277000e+02   3.6580000e+01   2.2000000e+00
   1.9816135e+03   1.0587000e+02   3.7130000e+01   2.4000000e+00
   1.9816180e+03   1.0642000e+02   3.8300000e+01   2.9000000e+00
   1.9816180e+03   1.0653000e+02   3.8100000e+01   3.5000000e+00
   1.9816190e+03   1.0443000e+02   3.5230000e+01   1.6000000e+00
   1.9816292e+03   1.0403000e+02   3.5120000e+01   2.4000000e+00
   1.9816292e+03   1.0383000e+02   3.5300000e+01   1.6000000e+00
   1.9816342e+03   1.0338000e+02   3.6950000e+01   2.3000000e+00
   1.9816362e+03   1.0400000e+02   3.5400000e+01   2.2000000e+00
   1.9816388e+03   1.0240000e+02   3.7520000e+01   2.6000000e+00
   1.9816407e+03   1.0230000e+02   3.7480000e+01   2.6000000e+00
   1.9816416e+03   1.0610000e+02   3.6180000e+01   2.7000000e+00
   1.9816512e+03   1.0592000e+02   3.6520000e+01   2.1000000e+00
   1.9816583e+03   1.0700000e+02   3.9900000e+01   3.6000000e+00
   1.9816583e+03   1.0687000e+02   3.9270000e+01   2.9000000e+00
   1.9816622e+03   1.0212000e+02   3.7650000e+01   2.4000000e+00
   1.9816668e+03   1.0650000e+02   3.5330000e+01   1.7000000e+00
   1.9816847e+03   1.0570000e+02   3.7250000e+01   3.2000000e+00
   1.9816878e+03   1.0230000e+02   3.7570000e+01   2.3000000e+00
   1.9816902e+03   1.0258000e+02   3.7320000e+01   3.0000000e+00
   1.9816961e+03   1.0630000e+02   3.8350000e+01   2.9000000e+00
   1.9817019e+03   1.0320000e+02   3.9600000e+01   2.5000000e+00
   1.9817026e+03   1.0617000e+02   3.5930000e+01   2.6000000e+00
   1.9817026e+03   1.0610000e+02   3.5880000e+01   1.6000000e+00
   1.9817255e+03   1.0610000e+02   3.6200000e+01   2.4000000e+00
   1.9817270e+03   1.0523000e+02   3.5350000e+01   2.3000000e+00
   1.9817282e+03   1.0603000e+02   3.6220000e+01   1.9000000e+00
   1.9817313e+03   1.0410000e+02   3.8020000e+01   1.9000000e+00
   1.9817584e+03   1.0230000e+02   3.7730000e+01   2.7000000e+00
   1.9817588e+03   1.0640000e+02   3.7950000e+01   3.2000000e+00
   1.9817588e+03   1.0613000e+02   3.7870000e+01   2.3000000e+00
   1.9817626e+03   1.0288000e+02   3.7320000e+01   3.3000000e+00
   1.9817709e+03   1.0348000e+02   3.6150000e+01   2.3000000e+00
   1.9817711e+03   1.0410000e+02   3.9300000e+01   3.8000000e+00
   1.9817711e+03   1.0420000e+02   3.9080000e+01   2.5000000e+00
   1.9817728e+03   1.0278000e+02   3.7450000e+01   4.1000000e+00
   1.9817728e+03   1.0312000e+02   3.7720000e+01   3.3000000e+00
   1.9817738e+03   1.0330000e+02   3.6730000e+01   2.3000000e+00
   1.9817742e+03   1.0615000e+02   3.5970000e+01   2.3000000e+00
